file,cluster,centroid_distance,cluster_size,embedding,silhouette_overall
D:\GitHub\dolap\files_dolab\files\149971.py,7,46.957558,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\149985.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\149986.py,8,16.71533,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\149990.py,8,16.54153,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\149992.py,8,18.042454,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\149996.py,7,47.704815,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150001.py,7,47.592148,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150002.py,8,31.477505,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150004.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150006.py,2,38.335327,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150020.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150021.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150023.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150024.py,8,13.956605,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150026.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150028.py,8,21.553415,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150029.py,8,13.866335,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150030.py,8,21.320694,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150031.py,8,21.817543,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150032.py,8,14.452938,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150035.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150036.py,8,21.683802,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150037.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150038.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150039.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150040.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150042.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150043.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150044.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150045.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150046.py,8,13.866335,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150047.py,8,21.506418,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150048.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150051.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150052.py,1,31.841175,670,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150053.py,2,29.266254,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150055.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150057.py,8,15.945905,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150063.py,8,14.829474,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150064.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150066.py,8,17.29108,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150067.py,2,38.335327,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150069.py,8,14.894947,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150070.py,8,13.371727,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150082.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150083.py,2,29.433825,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150084.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150088.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150089.py,8,19.039953,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150091.py,2,38.145355,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150095.py,1,29.53768,670,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150096.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150099.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150103.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150108.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150110.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150111.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150112.py,8,14.452938,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150114.py,8,31.163937,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150123.py,2,23.571909,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150124.py,8,18.042454,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150126.py,8,15.852843,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150127.py,8,17.29108,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150130.py,7,64.58822,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150134.py,7,47.704815,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150156.py,7,47.85331,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150157.py,8,21.368067,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150167.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150171.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150172.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150175.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150181.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150183.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150186.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150189.py,2,38.145355,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150191.py,1,29.62916,670,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150193.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150197.py,8,18.489742,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150199.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150203.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150205.py,7,48.02476,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150213.py,8,18.710117,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150214.py,8,22.954206,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150221.py,8,14.4093895,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150223.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150226.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150228.py,7,48.226665,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150229.py,8,14.452938,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150231.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150235.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150236.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150239.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
